time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-01-13T19:53:49.300Z,46.311,-111.6293333,-2,1.39,ml,6,244,0.334,0.06,mb,mb80536024,2022-01-13T21:32:59.590Z,"8 km W of Townsend, Montana",quarry blast,1.36,31.61,0.275,8,reviewed,mb,mb
2022-01-13T19:46:21.017Z,36.7051,-116.3114,11.3,0.9,ml,20,72.75,0.049,0.1122,nn,nn00831688,2022-01-13T20:27:26.950Z,"45 km ESE of Beatty, Nevada",earthquake,,0.7,0.9,10,reviewed,nn,nn
2022-01-13T19:46:07.841Z,61.5285,-151.5001,78.4,1.9,ml,,,,0.48,ak,ak022ltkmge,2022-01-13T19:51:04.689Z,"48 km NNW of Beluga, Alaska",earthquake,,0.6,,,automatic,ak,ak
2022-01-13T19:32:49.455Z,9.8833,-84.5527,32.95,4.6,mb,,151,0.45,1.38,us,us7000gbqm,2022-01-13T22:21:17.273Z,"4 km SW of Orotina, Costa Rica",earthquake,7.5,6.9,0.042,169,reviewed,us,us
2022-01-13T19:32:08.070Z,33.483,-116.4326667,14.6,0.62,ml,20,78,0.04071,0.14,ci,ci39911631,2022-01-13T20:52:29.981Z,"23km SSW of La Quinta, CA",earthquake,0.34,0.72,0.14,14,reviewed,ci,ci
2022-01-13T19:28:21.390Z,43.479,-123.4105,-0.35,1.49,ml,6,173,0.05114,0.13,uw,uw61810626,2022-01-13T20:37:45.330Z,"11 km NW of Oakland, Oregon",explosion,0.6,31.61,0.0440948179840841,3,reviewed,uw,uw
2022-01-13T19:26:58.275Z,54.8608,164.5958,10,4.2,mb,,166,3.966,0.93,us,us7000gbql,2022-01-13T21:59:22.040Z,"202 km SE of Ust’-Kamchatsk Staryy, Russia",earthquake,14.4,2,0.093,32,reviewed,us,us
2022-01-13T19:19:55.720Z,17.9421,-66.8401,13,2.05,md,5,315,0.0512,0.06,pr,pr2022013002,2022-01-13T19:38:11.430Z,"6 km SSW of Indios, Puerto Rico",earthquake,0.85,0.65,0.12,3,reviewed,pr,pr
2022-01-13T19:16:56.540Z,19.25,-155.391662597656,32.4799995422363,1.96000004,md,41,135,,0.100000001,hv,hv72871107,2022-01-13T19:20:52.550Z,"10 km ENE of Pāhala, Hawaii",earthquake,0.56,0.720000029,1.04999995,17,automatic,hv,hv
2022-01-13T19:16:37.880Z,33.0625,-115.004,-0.25,1.88,ml,11,65,0.09263,0.33,ci,ci39911607,2022-01-13T21:02:54.746Z,"45km NE of Holtville, CA",quarry blast,0.89,31.61,0.154,3,reviewed,ci,ci
2022-01-13T19:13:07.901Z,38.1785,-117.8609,6.8,1.7,ml,17,107.45,0.087,0.1285,nn,nn00831683,2022-01-13T20:15:01.201Z,"31 km SE of Mina, Nevada",earthquake,,1.8,0.19,7,reviewed,nn,nn
2022-01-13T19:00:57.990Z,34.1873333,-118.065,11.92,0.72,ml,10,121,0.03662,0.1,ci,ci39911591,2022-01-13T20:15:43.486Z,"3km NNW of Sierra Madre, CA",earthquake,0.3,0.49,0.078,5,reviewed,ci,ci
2022-01-13T18:44:36.380Z,35.9905,-117.917,3.99,1.85,ml,27,40,0.02759,0.15,ci,ci39911575,2022-01-13T19:04:14.215Z,"6km N of Little Lake, CA",earthquake,0.24,0.49,0.181,25,reviewed,ci,ci
2022-01-13T18:41:39.485Z,62.2868,-148.3,23.9,2.1,ml,,,,0.74,ak,ak022lsy6pi,2022-01-13T18:49:38.252Z,"55 km N of Chickaloon, Alaska",earthquake,,0.2,,,automatic,ak,ak
2022-01-13T18:38:28.684Z,-7.3114,127.5446,10,4.6,mb,,53,3.78,0.8,us,us7000gbq6,2022-01-13T21:51:20.040Z,"146 km NNE of Lospalos, Timor Leste",earthquake,7.4,1.9,0.098,31,reviewed,us,us
2022-01-13T18:37:36.280Z,37.9771667,-118.7298333,12.52,2.21,md,33,60,0.3023,0.11,nc,nc73678051,2022-01-13T21:49:12.576Z,"34km E of Lee Vining, CA",earthquake,0.27,1.32,0.165,29,reviewed,nc,nc
2022-01-13T18:25:37.030Z,33.5091667,-116.7785,7.88,0.67,ml,28,33,0.01853,0.17,ci,ci39911559,2022-01-13T19:04:25.267Z,"11km NE of Aguanga, CA",earthquake,0.23,0.59,0.11,17,reviewed,ci,ci
2022-01-13T18:21:15.780Z,33.5913333,-116.8061667,7.17,0.66,ml,28,73,0.03519,0.15,ci,ci39911551,2022-01-13T19:04:42.497Z,"13km WNW of Anza, CA",earthquake,0.24,0.52,0.144,19,reviewed,ci,ci
2022-01-13T18:19:36.738Z,-26.8593,-71.2261,16.12,5,mww,,131,0.423,1.11,us,us7000gbpy,2022-01-13T20:34:59.162Z,"105 km WNW of Copiapó, Chile",earthquake,3.9,3.8,0.089,12,reviewed,us,us
2022-01-13T18:15:00.043Z,61.1463,-151.1715,60.6,2,ml,,,,0.55,ak,ak022lssj1w,2022-01-13T18:19:44.572Z,"4 km W of Beluga, Alaska",earthquake,,1,,,automatic,ak,ak
2022-01-13T18:09:03.170Z,44.7835,-110.8091667,4.69,0.4,md,8,207,0.02983,0.15,uu,uu60477542,2022-01-13T18:29:31.550Z,"23 km SSW of Mammoth, Wyoming",earthquake,1.24,0.84,0.44,5,reviewed,uu,uu
